City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
163,Bethel,US,2022-11-24 17:46:55,41.3712,-73.414,51.03,59,0,5.75,clear sky
164,Bilibino,RU,2022-11-24 17:47:06,68.0546,166.4372,-8.72,94,100,4.23,overcast clouds
165,Faanui,PF,2022-11-24 17:47:07,-16.4833,-151.75,78.51,78,28,14.5,light rain
166,Kapaa,US,2022-11-24 17:47:07,22.0752,-159.319,73.38,85,100,28.77,moderate rain
167,Twentynine Palms,US,2022-11-24 17:47:08,34.1356,-116.0542,63.91,17,6,4.0,clear sky
168,Kenai,US,2022-11-24 17:47:09,60.5544,-151.2583,21.15,90,0,4.61,fog
169,Thinadhoo,MV,2022-11-24 17:47:09,0.5333,72.9333,82.09,74,61,13.56,broken clouds
170,Dingle,PH,2022-11-24 17:47:10,10.9995,122.6711,76.24,93,61,7.2,broken clouds
171,Antalaha,MG,2022-11-24 17:47:10,-14.9003,50.2788,72.55,90,3,6.33,light rain
172,Le Port,RE,2022-11-24 17:47:11,-20.9373,55.2919,77.0,70,42,5.26,scattered clouds
173,Gamba,GA,2022-11-24 17:47:11,-2.65,10.0,77.67,87,99,8.25,light rain
174,Cabedelo,BR,2022-11-24 17:47:12,-6.9811,-34.8339,86.67,67,10,11.34,clear sky
175,Esperance,AU,2022-11-24 17:47:12,-33.8667,121.9,62.04,86,100,5.91,light rain
176,Cockburn Town,TC,2022-11-24 17:47:13,21.4612,-71.1419,81.23,74,5,14.85,clear sky
177,Marsh Harbour,BS,2022-11-24 17:47:13,26.5412,-77.0636,79.79,70,74,10.4,broken clouds
178,Alanya,TR,2022-11-24 17:48:14,36.5438,31.9998,53.73,76,73,9.31,moderate rain
179,Loksa,EE,2022-11-24 17:48:14,59.5764,25.7214,30.54,85,100,8.63,overcast clouds
180,Urumqi,CN,2022-11-24 17:48:15,43.801,87.6005,25.75,93,40,2.24,scattered clouds
181,Serebryanyy Bor,RU,2022-11-24 17:48:15,56.8,124.8,-18.35,100,100,0.89,overcast clouds
182,Flinders,AU,2022-11-24 17:48:16,-34.5833,150.8552,60.39,85,75,4.43,broken clouds
183,Batticaloa,LK,2022-11-24 17:48:17,7.7102,81.6924,78.98,78,95,6.29,overcast clouds
184,Nizwa,OM,2022-11-24 17:48:17,22.9333,57.5333,74.48,35,1,7.74,clear sky
185,Tete,MZ,2022-11-24 17:48:18,-16.1564,33.5867,73.49,83,75,28.77,thunderstorm with heavy rain
186,Lorengau,PG,2022-11-24 17:48:18,-2.0226,147.2712,80.85,70,62,4.61,broken clouds
187,La Romana,DO,2022-11-24 17:48:19,18.4273,-68.9728,88.16,70,75,11.5,broken clouds
188,Geraldton,AU,2022-11-24 17:48:19,-28.7667,114.6,59.41,72,2,6.91,clear sky
189,Pondicherry,IN,2022-11-24 17:48:20,11.93,79.83,78.53,81,84,5.39,broken clouds
190,Bac Lieu,VN,2022-11-24 17:48:20,9.285,105.7244,78.57,85,62,5.97,broken clouds
191,Kirakira,SB,2022-11-24 17:48:21,-10.4544,161.9205,78.8,85,28,5.55,scattered clouds
192,Boulder City,US,2022-11-24 17:48:21,35.9786,-114.8325,58.28,21,0,19.57,clear sky
193,Dikson,RU,2022-11-24 17:48:22,73.5069,80.5464,-11.9,93,100,20.27,overcast clouds
194,Dodge City,US,2022-11-24 17:48:22,37.7528,-100.0171,46.24,60,20,29.93,few clouds
195,Bengkulu,ID,2022-11-24 17:48:23,-3.8004,102.2655,75.58,90,100,5.55,overcast clouds
196,Provideniya,RU,2022-11-24 17:48:23,64.3833,-173.3,18.12,89,99,15.99,overcast clouds
197,Ampanihy,MG,2022-11-24 17:48:24,-24.7,44.75,74.7,76,89,4.68,overcast clouds
198,La Ronge,CA,2022-11-24 17:45:47,55.1001,-105.2842,28.65,74,75,6.91,broken clouds
199,Beyneu,KZ,2022-11-24 17:48:25,45.3167,55.2,41.79,77,0,8.34,clear sky
200,Itoman,JP,2022-11-24 17:48:25,26.1247,127.6694,71.62,78,62,5.75,broken clouds
201,Roald,NO,2022-11-24 17:48:26,62.5833,6.1333,49.12,57,0,17.27,clear sky
