City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Laguna,US,2022-11-21 17:13:29,38.421,-121.4238,58.64,69,0,0.0
180,Coari,BR,2022-11-21 17:13:30,-4.085,-63.1414,96.87,33,61,5.01
181,Ngunguru,NZ,2022-11-21 17:13:30,-35.6167,174.5,63.57,96,90,8.12
182,Kashary,RU,2022-11-21 17:13:31,49.04,41.0056,51.87,91,100,5.84
183,Paratinga,BR,2022-11-21 17:13:31,-12.6906,-43.1842,84.54,52,94,0.72
184,Westport,US,2022-11-21 17:13:32,41.1415,-73.3579,39.56,50,0,11.99
185,Bethel,US,2022-11-21 17:13:32,41.3712,-73.414,38.01,47,0,10.36
186,Severo-Kurilsk,RU,2022-11-21 17:14:33,50.6789,156.125,40.95,85,100,19.86
187,Olga,RU,2022-11-21 17:14:33,43.7444,135.2892,27.01,75,4,10.27
188,Matara,LK,2022-11-21 17:14:34,5.9485,80.5353,76.75,81,96,6.73
189,Rafaela,AR,2022-11-21 17:14:34,-31.2503,-61.4867,72.0,68,100,15.61
190,Kungurtug,RU,2022-11-21 17:14:35,50.5994,97.5228,12.9,97,100,0.81
191,Tommot,RU,2022-11-21 17:14:35,58.9564,126.2925,-23.62,99,99,0.72
192,Klaksvik,FO,2022-11-21 17:14:36,62.2266,-6.589,43.72,68,51,20.96
193,Meulaboh,ID,2022-11-21 17:14:36,4.1363,96.1285,76.8,89,96,2.86
194,Zaltan,LY,2022-11-21 17:14:36,32.947,11.8665,64.63,32,4,8.93
195,Atuona,PF,2022-11-21 17:14:37,-9.8,-139.0333,77.77,66,63,16.11
196,Nizwa,OM,2022-11-21 17:14:38,22.9333,57.5333,76.96,45,90,6.58
197,Manokwari,ID,2022-11-21 17:14:38,-0.8667,134.0833,77.29,87,93,5.77
198,Gat,IL,2022-11-21 17:12:01,31.61,34.7642,74.08,34,69,2.98
199,Jumla,NP,2022-11-21 17:14:39,29.2747,82.1838,44.08,41,17,5.01
200,Avarua,CK,2022-11-21 17:14:40,-21.2078,-159.775,73.45,73,20,6.91
201,Verkhnyaya Inta,RU,2022-11-21 17:14:40,65.9811,60.3094,-15.97,100,44,2.89
202,Nome,US,2022-11-21 17:14:41,64.5011,-165.4064,28.47,86,100,0.0
203,Chuy,UY,2022-11-21 17:14:41,-33.6971,-53.4616,70.52,86,100,7.11
204,Luchegorsk,RU,2022-11-21 17:14:41,46.4764,134.2569,13.55,82,2,4.83
205,Port Elizabeth,ZA,2022-11-21 17:14:42,-33.918,25.5701,70.11,86,66,5.99
